,genes,method,x,n,mean,lower,upper
1,MG_001,exact,10,10,1,0.691502892,1
2,MG_003,exact,10,10,1,0.691502892,1
3,MG_004,exact,10,10,1,0.691502892,1
4,MG_005,exact,10,10,1,0.691502892,1
5,MG_006,exact,10,10,1,0.691502892,1
6,MG_007,exact,10,10,1,0.691502892,1
7,MG_008,exact,9,10,0.9,0.554983883,0.997471421
8,MG_009,exact,10,10,1,0.691502892,1
9,MG_012,exact,10,10,1,0.691502892,1
10,MG_013,exact,10,10,1,0.691502892,1
11,MG_014,exact,10,10,1,0.691502892,1
12,MG_015,exact,10,10,1,0.691502892,1
13,MG_019,exact,10,10,1,0.691502892,1
14,MG_020,exact,10,10,1,0.691502892,1
15,MG_021,exact,10,10,1,0.691502892,1
16,MG_022,exact,10,10,1,0.691502892,1
17,MG_023,exact,10,10,1,0.691502892,1
18,MG_026,exact,10,10,1,0.691502892,1
19,MG_027,exact,10,10,1,0.691502892,1
20,MG_029,exact,10,10,1,0.691502892,1
21,MG_030,exact,10,10,1,0.691502892,1
22,MG_031,exact,10,10,1,0.691502892,1
23,MG_033,exact,10,10,1,0.691502892,1
24,MG_034,exact,10,10,1,0.691502892,1
25,MG_035,exact,10,10,1,0.691502892,1
26,MG_036,exact,10,10,1,0.691502892,1
27,MG_037,exact,10,10,1,0.691502892,1
28,MG_038,exact,10,10,1,0.691502892,1
29,MG_039,exact,10,10,1,0.691502892,1
30,MG_040,exact,10,10,1,0.691502892,1
31,MG_041,exact,10,10,1,0.691502892,1
32,MG_042,exact,10,10,1,0.691502892,1
33,MG_043,exact,10,10,1,0.691502892,1
34,MG_044,exact,10,10,1,0.691502892,1
35,MG_045,exact,10,10,1,0.691502892,1
36,MG_046,exact,10,10,1,0.691502892,1
37,MG_047,exact,10,10,1,0.691502892,1
38,MG_048,exact,10,10,1,0.691502892,1
39,MG_049,exact,8,10,0.8,0.443904538,0.974789274
40,MG_050,exact,10,10,1,0.691502892,1
41,MG_051,exact,9,9,1,0.663732883,1
42,MG_052,exact,9,10,0.9,0.554983883,0.997471421
