,genes,method,x,n,mean,lower,upper
7,MG_008,exact,9,10,0.9,0.554983883,0.997471421
39,MG_049,exact,8,10,0.8,0.443904538,0.974789274
42,MG_052,exact,9,10,0.9,0.554983883,0.997471421
67,MG_084,exact,6,10,0.6,0.262378077,0.878447742
85,MG_104,exact,8,10,0.8,0.443904538,0.974789274
99,MG_122,exact,7,10,0.7,0.34754715,0.933260489
102,MG_126,exact,9,10,0.9,0.554983883,0.997471421
103,MG_127,exact,9,10,0.9,0.554983883,0.997471421
148,MG_183,exact,9,10,0.9,0.554983883,0.997471421
153,MG_189,exact,9,10,0.9,0.554983883,0.997471421
154,MG_190,exact,9,10,0.9,0.554983883,0.997471421
175,MG_214,exact,9,10,0.9,0.554983883,0.997471421
192,MG_236,exact,9,10,0.9,0.554983883,0.997471421
199,MG_250,exact,8,10,0.8,0.443904538,0.974789274
211,MG_265,exact,9,10,0.9,0.554983883,0.997471421
226,MG_289,exact,9,10,0.9,0.554983883,0.997471421
231,MG_295,exact,9,10,0.9,0.554983883,0.997471421
252,MG_324,exact,9,10,0.9,0.554983883,0.997471421
272,MG_352,exact,9,10,0.9,0.554983883,0.997471421
278,MG_359,exact,9,10,0.9,0.554983883,0.997471421
292,MG_379,exact,9,10,0.9,0.554983883,0.997471421
296,MG_384,exact,8,10,0.8,0.443904538,0.974789274
299,MG_387,exact,7,10,0.7,0.34754715,0.933260489
309,MG_401,exact,9,10,0.9,0.554983883,0.997471421
317,MG_410,exact,9,10,0.9,0.554983883,0.997471421
325,MG_425,exact,9,10,0.9,0.554983883,0.997471421
326,MG_426,exact,9,10,0.9,0.554983883,0.997471421
336,MG_438,exact,8,10,0.8,0.443904538,0.974789274
339,MG_445,exact,9,10,0.9,0.554983883,0.997471421
352,MG_464,exact,9,10,0.9,0.554983883,0.997471421
359,MG_470,exact,8,10,0.8,0.443904538,0.974789274
